id_universite;nom_universite;nom_court;date_creation;dep_id
181;École nationale supérieure d'architecture de Normandie;Ensa de Normandie;;76
182;École nationale supérieure d'arts de Paris-Cergy;ENSAPC;;95
183;École nationale supérieure des sciences de l'information et des bibliothèques;;1992;69
184;École nationale supérieure du pétrole et des moteurs;IFP school;1954;92
185;Hautes études d'ingénieur;;1885;59
186;Institut national du sport, de l'expertise et de la performance;;;75
187;IPAG Business School;;;75
188;Université Jean Moulin - Lyon 3;;1973;69
189;Avignon Université;AU;1984;84
190;École d'ingénieurs des sciences aérospatiales;ELISA;2009;2
191;École d'ingénieurs en génie des systèmes industriels;EIGSI;1990;17
192;École nationale supérieure d'architecture de Paris-Malaquais;ENSAPM;;75
193;École nationale supérieure d'architecture de Strasbourg;ENSAS;1922;67
194;École nationale supérieure des arts et techniques du théâtre;;1941;69
195;Université de Bourgogne;;1971;21
196;Université Bretagne Sud;UBS;1995;56
197;Brest Business School;Brest BS;1962;29
198;Arts et Métiers Sciences et Technologies;Arts et Métiers;1780;75
199;École nationale supérieure de chimie de Montpellier;ENS Chimie Montpellier;1889;34
200;École spéciale de mécanique et d'électricité;ESME Sudria;1905;94
201;Institut d'économie scientifique et de gestion;IÉSEG;1964;59
202;Institut des relations publiques et de la communication d’Angers;Ircom;;49
203;Université de Bretagne Occidentale;;1971;29
204;Université Toulouse - Jean Jaurès;;1971;31
205;Conservatoire national des arts et métiers;CNAM;1794;75
206;Centrale Marseille;;2003;13
207;École centrale d'électronique;ECE;1909;75
208;École d'ingénieurs de Purpan;EI Purpan;1919;31
209;École supérieure des sciences économiques et commerciales;;;95
210;École supérieure des techniques aéronautiques et de construction automobile;ESTACA;1925;78
211;École supérieure d'ingénieurs Léonard-de-Vinci;ESILV;1994;92
212;Institut catholique de Rennes;;;35
213;Sciences Po;IEP de Paris;1945;75
214;Agrosup Dijon;Agrosup Dijon;2009;21
215;MBS;;1992;34
216;Université de Corse Pasquale Paoli;;1975;2B
217;Université Paris 1 - Panthéon Sorbonne;Paris 1;1971;75
